Address,Amount,Bonus
0xdb0a24dc8a6eabfa8e412748567c4288ec97ff8c,"113,234",5%
0xe723468383e02d72cb7e7ddc6874d7edb437586b,"113,234",5%
0x8140ea94fa2e1546483ec04448de04777b97f42e,"113,234",5%
0x2bd1bc5d7c79771cd9d6c4ee0d5cf7774ac4dcad,"113,234",5%
0x5457025591d96cb60b01d95d95136bc77c38f984,"113,544",5%
0xfa421910bf370ce5e553f3a7277cf4a60174417e,"113,234",5%
0x30b67889db18134743cce5baabf87822ca314a3a,"113,234",5%
0xcf148bbd00be52b541bef02bc6dfee33e5fc3129,"113,234",5%
0xfe57121fa30abab93375243f728b728e7c28a7e3,"113,234",5%
0x262e9e6ded3f4ddd083f4acc0d1e1de55e3e1d53,"113,234",5%
0x10b0c4b48d2fb33834ecd7791b17351e2e620865,"113,234",5%
0x9078ae78a184aff1e9a21581b0d60e801b224368,"113,234",5%
0xc2361c1479fca6d9cf88eacfd246697d44c84c42,"107,994",5%
0x681bb25f6deb98d0ad8041560f0eeb09ce5ba7f4,"107,572",5%
0x58629a1e82303db62133099e0cb02840f9b653c6,"106,884",5%
0x1d019f4a7ddbc99ac256b9d7da7632c2aaaf41f1,"105,332",5%
0x71f9ccd68bf1f5f9b571f509e0765a04ca4ffad2,"5,217,124",0%
0x15cc196b376a6c7377e865862480a0e91f343b64,"4,431,305",0%
0xf29d777378a812072e715bd6088d4033a23c1d81,"3,561,855",0%
0xf54cbf4b5a58c822d2f78de5808ccc138ca7b906,"1,581,015",0%
0xc9b7f801541f88ae2f62c4c0eed29949d057c951,"1,509,789",0%
0x2cd94c6b0415a16631a4e6b4c49fb04a47c159cb,"1,375,582",0%
0xad7eae2be3ba60b0a2ce215449f3ee57c78881d5,"1,337,472",0%
0xabb65b4184f257e3a2cfc244189cb42d4bc9cc42,"642,501",0%
0xcfb8addca206122563aacf255922bb13e5a137a6,"559,892",0%
0x8cc7362a9e7cba09a7390c697d72f14f5860db96,"533,335",0%
0xc545ecef8bb304650c6f28925b3a9b043d3afa66,"445,380",0%
0xba6ff68d95cb21fa58f4946d189fe38e2c730b32,"420,406",0%
0x4b6d340474e568ef35a2904de3d4842d744cc60d,"420,000",0%
0xddcb34bd90b3d88e27dba79a93d359cbbe2c0925,"420,000",0%
0x52f3ae4429bba2dfe719c026815f46ba77f32422,"416,611",0%
0x3a88e50ac2f21721a46e9cb6154471c89ad77c46,"406,418",0%
0x570230ff6fe585c86cf55444cf9490ac39c121e1,"298,577",0%
0xa044efc7c68cd7913ce52a6b55f75a44bf5c4953,"276,127",0%
0xcb062de41bb3410c1071d4f38d7e885844d77ffd,"271,363",0%
0x74c52e38fb622329f596e573a4878bf616eab280,"251,909",0%
0x6359ef876d6f82f669709950bb2c8e19b8e82481,"239,704",0%
0x1f234c3efe25acd76f2e07e9b18527917cafd0be,"239,587",0%
0xf69a7cd9649a5b5477fa0e5395385fad03ac639f,"222,716",0%
0x80034d6bc6991eb9894fc0f57f560ba44c06a94c,"215,684",0%
0xc1464db480008759c311f7fd20711c9992ee977f,"215,684",0%
0xc26ea3b865a224f4f35b889899e697411d2cb44d,"206,358",0%
0xe206b43c0d99579d04e1515fa52cf7c2349bf1eb,"175,706",0%
0x246c9e444e4d87dc0eb3785fca6eed790f091549,"160,000",0%
0x26f2898586ef4aac7b34d28e422e31524113aca6,"107,842",0%
0x3a83716ddacca96c99ebfad2cee2897f5ceeaf85,"107,842",0%
0xa96a7c0d6039304c06516a426721aa713334a839,"107,842",0%
0xdbdb692ef06dfe10f609a9c0eab4b038d60b4243,"107,842",0%
0xc6a0d1dd3c043241e0227d5b48dc7d6cee6563a4,"107,842",0%
0x2c2ea3db44d0846e7ebcf47d4a8cb427c5602da4,"107,842",0%
0x331b4420f9c2e1dac8f456a4e61956afb7c3e88b,"107,842",0%
0xf7c9d2b4abae6698dbad860c4e3ac602461bbebf,"107,842",0%
0xa2d09e8cff5ded6c587324b5467fa91a46e63c1a,"107,842",0%
0x0ddfa87f505bec7525888d38249910a9e83bf89a,"107,842",0%
0xdb92a7a37a9e7d0a3cab61e22dff62ffedfc2e4f,"107,842",0%
0x1285a74b79cf8654601d2efc5928b4b7dd116068,"107,842",0%
0x69a549c12f3d4e27802bc0915de5b9f7736ecf2f,"107,842",0%
0x49379ce8eb3a5f8d2419e91c16cccc9dd4d7882d,"107,842",0%
0x3f2ad9ce830ea2a320bdd08aa562abc32bdfbae4,"107,842",0%
0xe1a9d5ad940a7de12c6b1e96b375a35e248f020b,"107,842",0%
0xfe8ad5576c22b8781a71215f9b65e0b1e0ba7699,"107,842",0%
0x495b593683dbb1063a20b0e5c38892c26050041f,"107,842",0%
0x0b54b916e90b8f28ad21da40638e0724132c9c93,"107,842",0%
0x80a790bfbe841521735abd8e577f09f87968d144,"107,842",0%
